id_wikidata	materia
Q101998	Biología
Q1029907	Biología
Q103191	Biología
Q104053	Biología
Q1049866	Biología
Q1057	Biología
Q1059	Biología
Q106016	Biología
Q106227	Biología
Q1063	Biología
Q107087885	Biología
Q10811	Biología
Q10876	Biología
Q10892	Biología
Q10908	Biología
Q11053	Biología
Q11068	Biología
Q11078	Biología
Q1112860	Biología
Q11188	Biología
Q11358	Biología
Q11364	Biología
Q11367	Biología
Q11369	Biología
Q1140772	Biología
Q11978	Biología
Q11982	Biología
Q11995	Biología
Q1205637	Biología
Q12152	Biología
Q1216998	Biología
Q123619	Biología
Q124794	Biología
Q125928	Biología
Q127006	Biología
Q131683	Biología
Q133895	Biología
Q144019	Biología
Q14763008	Biología
Q152	Biología
Q1530280	Biología
Q1541064	Biología
Q159462	Biología
Q1612119	Biología
Q162643	Biología
Q162657	Biología
Q162668	Biología
Q16399	Biología
Q1645075	Biología
Q166231	Biología
Q167336	Biología
Q167751	Biología
Q169324	Biología
Q169953	Biología
Q1703635	Biología
Q173710	Biología
Q177935	Biología
Q178694	Biología
Q179217	Biología
Q182353	Biología
Q182726	Biología
Q185589	Biología
Q187181	Biología
Q187215	Biología
Q188193	Biología
Q188909	Biología
Q188941	Biología
Q189967	Biología
Q190553	Biología
Q19081	Biología
Q192560	Biología
Q194277	Biología
Q199403	Biología
Q200779	Biología
Q2022868	Biología
Q206229	Biología
Q206913	Biología
Q21100485	Biología
Q211675	Biología
Q211935	Biología
Q2142347	Biología
Q216818	Biología
Q227564	Biología
Q23852	Biología
Q2419844	Biología
Q242125	Biología
Q244145	Biología
Q25241	Biología
Q25314	Biología
Q265868	Biología
Q2666904	Biología
Q2707809	Biología
Q2850020	Biología
Q28598	Biología
Q29548	Biología
Q29867336	Biología
Q336	Biología
Q3454555	Biología
Q34581	Biología
Q37748	Biología
Q37813	Biología
Q3829749	Biología
Q3829757	Biología
Q3911174	Biología
Q39572	Biología
Q39833	Biología
Q40260	Biología
Q40397	Biología
Q40763	Biología
Q41760	Biología
Q420	Biología
Q422106	Biología
Q42244	Biología
Q422812	Biología
Q42762	Biología
Q428253	Biología
Q42918	Biología
Q42982	Biología
Q43054	Biología
Q43478	Biología
Q43619	Biología
Q43806	Biología
Q46857	Biología
Q47041	Biología
Q47273	Biología
Q483213	Biología
Q49974	Biología
Q585259	Biología
Q58734	Biología
Q622896	Biología
Q635162	Biología
Q650401	Biología
Q7020	Biología
Q7060553	Biología
Q712378	Biología
Q7150	Biología
Q715347	Biología
Q7155	Biología
Q7162	Biología
Q7187	Biología
Q726543	Biología
Q729	Biología
Q7365	Biología
Q7380	Biología
Q7430	Biología
Q7432	Biología
Q744962	Biología
Q756	Biología
Q75865	Biología
Q764	Biología
Q7868	Biología
Q7873	Biología
Q7886	Biología
Q7886088	Biología
Q7891	Biología
Q7895	Biología
Q7942	Biología
Q79460	Biología
Q79749	Biología
Q79899	Biología
Q79927	Biología
Q8047	Biología
Q8054	Biología
Q80726	Biología
Q808	Biología
Q80863	Biología
Q821413	Biología
Q82551	Biología
Q83181	Biología
Q83330	Biología
Q83864	Biología
Q83944	Biología
Q842083	Biología
Q844342	Biología
Q846303	Biología
Q8514	Biología
Q9050360	Biología
Q912751	Biología
Q9368	Biología
Q9444	Biología
Q9618	Biología
Q9621	Biología
Q9639	Biología
Q9644	Biología
Q9649	Biología
Q97371805	Biología
Q101395	Química
Q101487	Química
Q101497	Química
Q102500	Química
Q103230	Química
Q104837	Química
Q104946	Química
Q10693	Química
Q1079788	Química
Q11158	Química
Q11173	Química
Q11193	Química
Q11344	Química
Q11426	Química
Q11430	Química
Q11432	Química
Q11448	Química
Q11473	Química
Q11523	Química
Q12385831	Química
Q12453	Química
Q12571883	Química
Q127920	Química
Q12969754	Química
Q131594	Química
Q133235	Química
Q134856	Química
Q13533728	Química
Q137056	Química
Q146505	Química
Q1468684	Química
Q156	Química
Q159226	Química
Q161064	Química
Q1621273	Química
Q162908	Química
Q167198	Química
Q169336	Química
Q170409	Química
Q170731	Química
Q170744	Química
Q171407	Química
Q172280	Química
Q172948	Química
Q174211	Química
Q175974	Química
Q177625	Química
Q1786087	Química
Q178697	Química
Q179380	Química
Q179856	Química
Q181780	Química
Q182527	Química
Q182854	Química
Q188862	Química
Q189520	Química
Q190382	Química
Q190444	Química
Q190474	Química
Q191390	Química
Q191785	Química
Q192690	Química
Q193068	Química
Q193523	Química
Q19557	Química
Q19563	Química
Q19596	Química
Q19600	Química
